id,first_name,last_name,sex,date_of_birth,hometown,latitude,longitude,preferred_temperature,preferred_travel_time,preferred_transport_mode
0,Courtney,Moody,f,1950-10-26,Lille,50.65001386778346,3.047986019489509,25,0,flight
1,Tiffany,Nguyen,f,1970-07-20,Wuppertal,51.25060738029886,7.168951032921459,26,2,train
2,Gregory,Watkins,m,1954-05-14,Plymouth,50.39189184216399,-4.118677004021219,13,0,train
3,Shane,Klein,m,1968-02-07,Southampton,50.91987834969913,-1.3989809990162205,18,4,flight
4,David,Marquez,m,1974-09-03,Stuttgart,48.774544396573845,9.172073061100896,26,11,train
5,James,Gomez,m,2006-03-02,Plzeň,49.740200906877654,13.372881574013196,40,5,flight
6,Kevin,Smith,m,1994-10-02,Wien,48.20843842145425,16.377868099114387,26,7,flight
7,Deborah,Johnson,f,1997-01-12,Nantes,47.22488436562192,-1.5937274662741499,10,5,flight
8,David,Haynes,m,1960-12-28,Wien,48.20843842145425,16.377868099114387,16,9,train
9,Lindsey,Richards,f,1983-07-02,Gondomar,41.10958787205828,-8.482987434693953,36,18,train
10,Laura,Rios,f,1991-07-22,Oxford,51.754597847030354,-1.2409040080485132,21,1,train
11,Paul,Simpson,m,1972-05-13,Strasbourg,48.57227089187239,7.726775556141394,28,6,flight
12,Danielle,White,f,2003-04-19,Hounslow,51.46839035135398,-0.36687500212093005,9,8,train
13,Sandra,Lewis,f,1995-01-30,Roma,41.88561543435591,12.46086161630812,9,17,train
14,Kimberly,Bradford,f,2001-11-02,Kassel,51.31149538763535,9.460352542220855,15,9,train
15,John,Little,m,2003-01-22,Irakleio,35.27976899957921,25.115065180647274,19,1,train
16,Patricia,Woods,f,1967-11-14,CA du Val d'Yerres,48.6986148736296,2.505567034200092,18,0,flight
17,Rebecca,Mooney,x,1983-12-07,Amsterdam,52.372927867672,4.889001010591849,6,13,train
18,Frances,Medina,f,1980-04-02,Gateshead,54.93533333184182,-1.6831940452082417,25,3,train
19,Vincent,Tucker,m,1956-12-30,Rīga,56.97808391285029,24.122314583343496,16,1,flight
20,Robert,Lowery,m,2004-06-08,Colchester,51.875589854244005,0.8574819986877106,24,9,train
21,Lori,Gonzales,x,1958-05-11,Thessaloniki,40.62293646952733,22.95184116183397,4,14,train
